time,x,y,z,yaw,throttle,roll_rate,pitch_rate,yaw_rate,x_ref,y_ref,z_ref,yaw_ref,pred_time,nr_time,metadata
4.76837158203125e-06,-0.0237132515758276,-0.0736672580242157,-0.24058738350868225,-0.0061371466172468365,-0.532401885585275,0.03927698070803798,-0.003456264502264966,0.0023014299814675078,0.0,0.0,-0.6,0.0,0.0015490055084228516,0.0024704933166503906,Hardware
0.010454893112182617,-0.0237132515758276,-0.0736672580242157,-0.24058738350868225,-0.0061371466172468365,-0.5412767338912844,0.06650876564845043,-0.0051245431830880825,0.003912430968494955,0.0,0.0,-0.6,0.0,0.0008072853088378906,0.0023169517517089844,Nonlinear
0.020205020904541016,-0.02369772456586361,-0.07364175468683243,-0.24058662354946136,-0.0060906040422590265,-0.5483193572752798,0.08397981892041695,-0.005403490975069916,0.005022678193793817,0.0,0.0,-0.6,0.0,0.0017070770263671875,0.0031464099884033203,1x Speed
0.030756711959838867,-0.023665528744459152,-0.07364179939031601,-0.24057240784168243,-0.006045464902437965,-0.5539134038662402,0.09610081775152347,-0.005477777055612278,0.005782924074069972,0.0,0.0,-0.6,0.0,0.001850128173828125,0.002841949462890625,0OrderHold
0.04060721397399902,-0.023649176582694054,-0.07362192869186401,-0.24058003723621368,-0.005992012476481282,-0.5582621634369039,0.10337783072373835,-0.003991728226586443,0.006295051530529449,0.0,0.0,-0.6,0.0,0.001718759536743164,0.0028955936431884766,QuatYawError
0.050004005432128906,-0.023649176582694054,-0.07362192869186401,-0.24058003723621368,-0.005992012476481282,-0.5617131659476134,0.10772121175948805,-0.002651365096168004,0.006653540750051164,0.0,0.0,-0.6,0.0,0.001308441162109375,0.0022110939025878906,NoPyJoules
0.060327768325805664,-0.023661423474550247,-0.07359714061021805,-0.2406199425458908,-0.005982085006709037,-0.5645270329058537,0.11052441486273579,-0.00303097591865099,0.00690076040255175,0.0,0.0,-0.6,0.0,0.0018570423126220703,0.003049135208129883,0
0.07093214988708496,-0.02364516071975231,-0.07359359413385391,-0.24066174030303955,-0.005901433189100386,-0.5667384342026133,0.11219069196742454,-0.0023802031347293076,0.007043569727698882,0.0,0.0,-0.6,0.0,0.0023212432861328125,0.0039293766021728516,0
0.08149290084838867,-0.02362540364265442,-0.07359230518341064,-0.24070638418197632,-0.005877783052038138,-0.5684468458310741,0.1122986462969144,-0.001032387172640855,0.007134667453903536,0.0,0.0,-0.6,0.0,0.0017032623291015625,0.00264739990234375,0
0.09060215950012207,-0.0236051082611084,-0.0735994204878807,-0.2407640665769577,-0.005847094614460067,-0.5698014340280091,0.11214335365840607,-0.0014969760455387903,0.00718692769815501,0.0,0.0,-0.6,0.0,0.0014536380767822266,0.0029249191284179688,0
0.10094356536865234,-0.023568062111735344,-0.07361744344234467,-0.24082033336162567,-0.005801247812617092,-0.570885367117066,0.11426441885246441,-0.0008405189348050309,0.00720631731843992,0.0,0.0,-0.6,0.0,0.0016398429870605469,0.0027904510498046875,0
0.11354398727416992,-0.023527713492512703,-0.0736357569694519,-0.24087384343147278,-0.005794940542406874,-0.5716674392263702,0.11471774758751052,0.002063197210913736,0.007217524826310521,0.0,0.0,-0.6,0.0,0.0015299320220947266,0.0031561851501464844,0
0.12275004386901855,-0.023484403267502785,-0.07365255057811737,-0.24093738198280334,-0.005798845004405897,-0.5723069612342787,0.11351317660570748,0.005143141966315688,0.007226834255069575,0.0,0.0,-0.6,0.0,0.0018093585968017578,0.002880096435546875,0
0.13148260116577148,-0.02343025989830494,-0.07366626709699631,-0.2410019487142563,-0.005785335463600507,-0.5727896701459364,0.11181193573034613,0.008392463527924715,0.007228284777398892,0.0,0.0,-0.6,0.0,0.0017781257629394531,0.0026810169219970703,0
0.13982009887695312,-0.02343025989830494,-0.07366626709699631,-0.2410019487142563,-0.005785335463600507,-0.5731694263919723,0.11055839862901455,0.010653472442390633,0.007229300143029415,0.0,0.0,-0.6,0.0,0.0018239021301269531,0.0029227733612060547,0
0.15088319778442383,-0.023227570578455925,-0.0737406462430954,-0.24119773507118225,-0.005618803118735685,-0.5734227397688274,0.11251372958571924,0.015847889559737323,0.00716756126964646,0.0,0.0,-0.6,0.0,0.0013873577117919922,0.002441883087158203,0
0.1597750186920166,-0.023227570578455925,-0.0737406462430954,-0.24119773507118225,-0.005618803118735685,-0.5736243098602994,0.113813251625636,0.01942778916735061,0.007124344058278404,0.0,0.0,-0.6,0.0,0.0022754669189453125,0.003700733184814453,0
0.1699390411376953,-0.023151760920882225,-0.07376730442047119,-0.24132129549980164,-0.005452884222332157,-0.5736627066776393,0.11621097161599768,0.02271975134371924,0.007031872424169444,0.0,0.0,-0.6,0.0,0.0017871856689453125,0.0028235912322998047,0
0.180344820022583,-0.02306719310581684,-0.07379215210676193,-0.24149306118488312,-0.005021667124082598,-0.5735641470619105,0.12074237078781831,0.026590781962437842,0.006805435868449591,0.0,0.0,-0.6,0.0,0.0014765262603759766,0.0024976730346679688,0
0.18987178802490234,-0.02296966128051281,-0.07381242513656616,-0.2417278289794922,-0.004479739424502673,-0.5733516004698839,0.12379203588381828,0.03130866547849773,0.006443707392103146,0.0,0.0,-0.6,0.0,0.0015282630920410156,0.002691030502319336,0
0.2001028060913086,-0.022859571501612663,-0.07381360977888107,-0.24203042685985565,-0.003830185489759436,-0.5730655941973762,0.12504638576832106,0.035679957016043456,0.005946914733132002,0.0,0.0,-0.6,0.0,0.001787424087524414,0.0030252933502197266,0
