time,x,y,z,yaw,throttle,roll_rate,pitch_rate,yaw_rate,x_ref,y_ref,z_ref,yaw_ref,mpc_time,ctrl_callback_time_history,metadata
5.9604644775390625e-06,-0.16115912795066833,0.027316266670823097,-0.24196745455265045,0.04673815561356931,-0.6352876867884055,-0.31394307694934037,-0.7999999369982685,-0.29729066133122384,0.0,0.0,-0.6,0.0,0.02280139923095703,0.029303789138793945,Hardware
0.03135347366333008,-0.16115912795066833,0.027316266670823097,-0.24196745455265045,0.04673815561356931,-0.6352876867884055,-0.31394307694934037,-0.7999999369982685,-0.29729066133122384,0.0,0.0,-0.6,0.0,0.0015721321105957031,0.006577968597412109,2x Speed
0.040686607360839844,-0.16120047867298126,0.02732573263347149,-0.24195925891399384,0.0467185886960594,-0.6352876867968377,-0.3145943231949246,-0.7999999305808624,-0.29721421730547576,0.0,0.0,-0.6,0.0,0.008227348327636719,0.012956619262695312,Horizon:3.0
0.055757761001586914,-0.16120047867298126,0.02732573263347149,-0.24195925891399384,0.0467185886960594,-0.6352876867968377,-0.3145943231949246,-0.7999999305808624,-0.29721421730547576,0.0,0.0,-0.6,0.0,0.0015888214111328125,0.006173610687255859,Num Steps:20
0.06524872779846191,-0.16121669113636017,0.027315661311149597,-0.2419625073671341,0.046716170227011085,-0.6352876867471019,-0.31403303120701365,-0.7999999680776078,-0.29706931940498066,0.0,0.0,-0.6,0.0,0.008262872695922852,0.012333869934082031,No Pyjoules
0.08038115501403809,-0.16124650835990906,0.0273236483335495,-0.24197538197040558,0.046757141568106224,-0.6352876867425666,-0.3172071143085576,-0.7999999733864734,-0.29728458727018314,0.0,0.0,-0.6,0.0,0.009569644927978516,0.014042854309082031,0
0.09680747985839844,-0.16124650835990906,0.0273236483335495,-0.24197538197040558,0.046757141568106224,-0.6352876867425666,-0.3172071143085576,-0.7999999733864734,-0.29728458727018314,0.0,0.0,-0.6,0.0,0.0016531944274902344,0.006326913833618164,0
0.10552048683166504,-0.16127704083919525,0.027329714968800545,-0.24201175570487976,0.04669491234167717,-0.6352876864022302,-0.3231355059721149,-0.7999999989682689,-0.2966755377393573,0.0,0.0,-0.6,0.0,0.009085655212402344,0.013555765151977539,0
0.12128448486328125,-0.16130580008029938,0.027336489409208298,-0.24211634695529938,0.04633205746836194,-0.6352876867122601,-0.3207037057181025,-0.7999999887352475,-0.2948517529958295,0.0,0.0,-0.6,0.0,0.009629011154174805,0.014171838760375977,0
0.13846373558044434,-0.16130580008029938,0.027336489409208298,-0.24211634695529938,0.04633205746836194,-0.6352876867122601,-0.3207037057181025,-0.7999999887352475,-0.2948517529958295,0.0,0.0,-0.6,0.0,0.0014002323150634766,0.006037235260009766,0
0.14729881286621094,-0.1608222872018814,0.027272386476397514,-0.24241936206817627,0.044911335641467584,-0.6352876868336765,-0.2838478004437196,-0.730642508940309,-0.28769077079933325,0.0,0.0,-0.6,0.0,0.011614561080932617,0.01650547981262207,0
0.16621804237365723,-0.1608222872018814,0.027272386476397514,-0.24241936206817627,0.044911335641467584,-0.6352876868336765,-0.2838478004437196,-0.730642508940309,-0.28769077079933325,0.0,0.0,-0.6,0.0,0.0011563301086425781,0.005227804183959961,0
0.17519688606262207,-0.15992778539657593,0.027048761025071144,-0.2428978681564331,0.044872605974128746,-0.6352876868334156,-0.2423868562295273,-0.6173022007183632,-0.2874632329981186,0.0,0.0,-0.6,0.0,0.009711503982543945,0.014180898666381836,0
0.1921403408050537,-0.15851517021656036,0.026621883735060692,-0.24388642609119415,0.04422133308983995,-0.6352876868031704,-0.19042836450277392,-0.46943215604278354,-0.2832753309606278,0.0,0.0,-0.6,0.0,0.010111093521118164,0.014975547790527344,0
0.20951223373413086,-0.15851517021656036,0.026621883735060692,-0.24388642609119415,0.04422133308983995,-0.6352876868031704,-0.19042836450277392,-0.46943215604278354,-0.2832753309606278,0.0,0.0,-0.6,0.0,0.0015773773193359375,0.005721092224121094,0
0.21831369400024414,-0.1552451103925705,0.025864964351058006,-0.2468603104352951,0.04477191029634936,-0.6264182839066917,-0.04300234518171124,-0.15612267777926847,-0.2865462754625147,0.0,0.0,-0.6,0.0,0.008897066116333008,0.014055013656616211,0
0.2340686321258545,-0.1552451103925705,0.025864964351058006,-0.2468603104352951,0.04477191029634936,-0.6264182839066917,-0.04300234518171124,-0.15612267777926847,-0.2865462754625147,0.0,0.0,-0.6,0.0,0.001499176025390625,0.006455659866333008,0
0.24376606941223145,-0.15248838067054749,0.02509278804063797,-0.24977470934391022,0.04509442324854452,-0.6191356049388104,0.056367412913758234,0.09630678541843254,-0.28828164710960485,0.0,0.0,-0.6,0.0,0.008293628692626953,0.01246333122253418,0
0.2596011161804199,-0.14935530722141266,0.024215174838900566,-0.25343751907348633,0.04497082324847902,-0.6141906702157865,0.10596412589062955,0.38080216801259564,-0.2873538201880057,0.0,0.0,-0.6,0.0,0.0075244903564453125,0.012096166610717773,0
0.2736985683441162,-0.14935530722141266,0.024215174838900566,-0.25343751907348633,0.04497082324847902,-0.6141906702157865,0.10596412589062955,0.38080216801259564,-0.2873538201880057,0.0,0.0,-0.6,0.0,0.0010466575622558594,0.005802154541015625,0
0.2820272445678711,-0.14599885046482086,0.023307662457227707,-0.25760969519615173,0.04436013029362605,-0.6043549438334318,0.20019722322898692,0.6654207920751543,-0.2831732202233168,0.0,0.0,-0.6,0.0,0.007905721664428711,0.012875556945800781,0
