time,x,y,z,yaw,throttle,roll_rate,pitch_rate,yaw_rate,x_ref,y_ref,z_ref,yaw_ref,pred_time,nr_time,ctrl_callback_time,metadata
2.1457672119140625e-06,-0.15108084678649902,-0.09100949019193649,-0.23898272216320038,-0.06156829495644967,-0.5324206433574077,0.05038844760448334,-0.0671101716745993,0.023088110608665568,0.0,0.0,-0.6,0.0,0.0013585090637207031,0.0022530555725097656,0.004571437835693359,Hardware
0.011690855026245117,-0.15108084678649902,-0.09100949019193649,-0.23898272216320038,-0.06156829495644967,-0.541285343309422,0.0839946370599707,-0.1132985092417074,0.039249788034732384,0.0,0.0,-0.6,0.0,0.0018620491027832031,0.0031867027282714844,0.0065920352935791016,Nonlinear
0.020244121551513672,-0.15108084678649902,-0.09100949019193649,-0.23898272216320038,-0.06156829495644967,-0.5483449709414061,0.10575102478427229,-0.14382266299793334,0.0505629622329798,0.0,0.0,-0.6,0.0,0.0020852088928222656,0.003512144088745117,0.006592512130737305,2x Speed
0.030731201171875,-0.15114159882068634,-0.09098315984010696,-0.23901069164276123,-0.0614729926941393,-0.5540136208485908,0.11918069617653014,-0.16292982443312481,0.05844644582338705,0.0,0.0,-0.6,0.0,0.0020322799682617188,0.003252267837524414,0.006632566452026367,0OrderHold
0.04052543640136719,-0.151164248585701,-0.09097781032323837,-0.2390197068452835,-0.061489623774406636,-0.5585623013418928,0.12741327404258607,-0.17477962215173526,0.06397112099177749,0.0,0.0,-0.6,0.0,0.0018477439880371094,0.003128528594970703,0.0067446231842041016,QuatYawError
0.05086541175842285,-0.15118466317653656,-0.090975821018219,-0.23904256522655487,-0.061467811673209534,-0.5621846155032885,0.1320671007296099,-0.1813952434514692,0.0678302140716973,0.0,0.0,-0.6,0.0,0.0015788078308105469,0.0028214454650878906,0.006175518035888672,NoPyJoules
0.06103229522705078,-0.15120680630207062,-0.0909772589802742,-0.23906256258487701,-0.06143661736359187,-0.5650877835420508,0.13481145715193313,-0.18500846049916736,0.07051988136153471,0.0,0.0,-0.6,0.0,0.001850128173828125,0.0030493736267089844,0.006457090377807617,0
0.07097434997558594,-0.15123042464256287,-0.09098678082227707,-0.23907926678657532,-0.06144330167538981,-0.5673305903336435,0.13653724353448243,-0.18613932825915944,0.07240515508134522,0.0,0.0,-0.6,0.0,0.0014820098876953125,0.002716541290283203,0.006358623504638672,0
0.0812845230102539,-0.15125811100006104,-0.09099482744932175,-0.23911048471927643,-0.06139547068805336,-0.5691200686751348,0.1362613363174534,-0.18673793998574803,0.0737069100649615,0.0,0.0,-0.6,0.0,0.0015778541564941406,0.002913236618041992,0.0067958831787109375,0
0.09119772911071777,-0.15128640830516815,-0.0909942016005516,-0.239152729511261,-0.06129546686933094,-0.5705445626967249,0.13668476468746749,-0.18595074492772942,0.07458063712147203,0.0,0.0,-0.6,0.0,0.0014235973358154297,0.002843618392944336,0.00557255744934082,0
