time,x,y,z,yaw,throttle,roll_rate,pitch_rate,yaw_rate,x_ref,y_ref,z_ref,yaw_ref,pred_time,nr_time,ctrl_callback_time,metadata
3.814697265625e-06,-0.1481519490480423,-0.10845048725605011,-0.2391824871301651,-0.07216766082249886,-0.5324017473275352,0.053999663070187616,-0.06674151441656566,0.027062872808456956,0.0,0.0,-0.6,0.0,0.0013015270233154297,0.002366781234741211,0.005001544952392578,Hardware
0.011591434478759766,-0.1481519490480423,-0.10845048725605011,-0.2391824871301651,-0.07216766082249886,-0.5412535739011057,0.08933347367777039,-0.11313833821771829,0.046006883774337995,0.0,0.0,-0.6,0.0,0.0015621185302734375,0.0026938915252685547,0.006430625915527344,Nonlinear
0.021952152252197266,-0.14816762506961823,-0.10843260586261749,-0.23921172320842743,-0.07213929762578085,-0.5482962001548117,0.11157586213412882,-0.14410357322369383,0.05925705525169117,0.0,0.0,-0.6,0.0,0.0010399818420410156,0.0018427371978759766,0.004900693893432617,2x Speed
0.0301516056060791,-0.14816425740718842,-0.10842566937208176,-0.2392331063747406,-0.07212467642734763,-0.5539378254661803,0.12504885871736582,-0.16379871231743034,0.06852669233644598,0.0,0.0,-0.6,0.0,0.0010106563568115234,0.0017883777618408203,0.004155158996582031,0OrderHold
0.04014921188354492,-0.14817187190055847,-0.10841980576515198,-0.2392488420009613,-0.07214062506927148,-0.5584669970101348,0.13269853968250672,-0.1759615826215078,0.07502141903648814,0.0,0.0,-0.6,0.0,0.0018541812896728516,0.003427267074584961,0.0063877105712890625,QuatYawError
0.05006265640258789,-0.14817187190055847,-0.10841980576515198,-0.2392488420009613,-0.07214062506927148,-0.5620916754821307,0.13664213440264802,-0.1829046906799132,0.0795677277265179,0.0,0.0,-0.6,0.0,0.0016775131225585938,0.002716064453125,0.006196022033691406,NoPyJoules
0.06046628952026367,-0.14818212389945984,-0.10840974003076553,-0.23926237225532532,-0.07213424723144951,-0.5649723123039125,0.13826388774690618,-0.1866204329853019,0.08274775212035844,0.0,0.0,-0.6,0.0,0.0023682117462158203,0.0034461021423339844,0.007993698120117188,0
0.07002902030944824,-0.14818212389945984,-0.10840974003076553,-0.23926237225532532,-0.07213424723144951,-0.5672683512268123,0.13851030967200656,-0.18816395350715684,0.08497376919604226,0.0,0.0,-0.6,0.0,0.002006053924560547,0.0030274391174316406,0.006539821624755859,0
0.08134126663208008,-0.1482330858707428,-0.10837405920028687,-0.2393210232257843,-0.07237126792713675,-0.5690977927547752,0.138391366080196,-0.1889028659116048,0.08662086390990421,0.0,0.0,-0.6,0.0,0.0020592212677001953,0.0031745433807373047,0.006606340408325195,0
0.0910789966583252,-0.1482573002576828,-0.10836540907621384,-0.23935210704803467,-0.07242782537349429,-0.5705286199307006,0.13737424563600834,-0.18930431043121423,0.08779503925199417,0.0,0.0,-0.6,0.0,0.0021865367889404297,0.0036356449127197266,0.007091045379638672,0
0.10077691078186035,-0.1482573002576828,-0.10836540907621384,-0.23935210704803467,-0.07242782537349429,-0.5716634465417448,0.13624419491693684,-0.18906395370821583,0.08861696199145545,0.0,0.0,-0.6,0.0,0.0015480518341064453,0.0025403499603271484,0.005671262741088867,0
0.11185717582702637,-0.14831052720546722,-0.10838916152715683,-0.23943045735359192,-0.0717959193435285,-0.5724676223733127,0.13630568434232113,-0.18802755537423724,0.08895534314784283,0.0,0.0,-0.6,0.0,0.002426624298095703,0.003467082977294922,0.006664276123046875,0
0.12016153335571289,-0.14831052720546722,-0.10838916152715683,-0.23943045735359192,-0.0717959193435285,-0.5731038970747363,0.13611074502948733,-0.18702650133707266,0.08919220995731375,0.0,0.0,-0.6,0.0,0.0012619495391845703,0.0021173954010009766,0.005391120910644531,0
0.129929780960083,-0.14830288290977478,-0.10847103595733643,-0.23957262933254242,-0.07099733244507772,-0.5736169378110337,0.13809908233530532,-0.1832820459475947,0.08905854663702391,0.0,0.0,-0.6,0.0,0.0013744831085205078,0.002356290817260742,0.005312681198120117,0
0.1405467987060547,-0.14823588728904724,-0.10856956988573074,-0.2396664023399353,-0.07110967682491555,-0.5740218173983985,0.14051401858883078,-0.17907686877928297,0.08900711145526002,0.0,0.0,-0.6,0.0,0.0018498897552490234,0.003509044647216797,0.006799936294555664,0
0.1504049301147461,-0.14817656576633453,-0.10862784832715988,-0.23975183069705963,-0.07124664225081258,-0.5743019492085651,0.1413176665044204,-0.1765331605393282,0.08902246886273672,0.0,0.0,-0.6,0.0,0.0014753341674804688,0.0032711029052734375,0.006307840347290039,0
0.16107559204101562,-0.1480909138917923,-0.10868239402770996,-0.2398587465286255,-0.0713042840576874,-0.5744628435406586,0.1401291253181971,-0.1730776784080273,0.08905483472554857,0.0,0.0,-0.6,0.0,0.0021157264709472656,0.0037331581115722656,0.006964683532714844,0
0.1709427833557129,-0.1480909138917923,-0.10868239402770996,-0.2398587465286255,-0.0713042840576874,-0.5745817243597104,0.13925900595821727,-0.17064348169626342,0.08907749082951678,0.0,0.0,-0.6,0.0,0.0015060901641845703,0.0027208328247070312,0.006163358688354492,0
0.18024706840515137,-0.14789815247058868,-0.10866713523864746,-0.2401011437177658,-0.07074877003717472,-0.5746219534887528,0.13331469560174403,-0.16468988851916772,0.08888503234460246,0.0,0.0,-0.6,0.0,0.0017418861389160156,0.002897024154663086,0.00659942626953125,0
0.19079256057739258,-0.14775477349758148,-0.10867120325565338,-0.24029286205768585,-0.07036928001875271,-0.574496954070519,0.12884706283399547,-0.15893693127199102,0.08860800264825426,0.0,0.0,-0.6,0.0,0.0020759105682373047,0.0032796859741210938,0.006455898284912109,0
